março 2010,"3079,86",510
abril 2010,"3097,42",510
maio 2010,"3110,74",510
junho 2010,"3110,74",510
julho 2010,"3111,05",510
agosto 2010,"3112,29",510
setembro 2010,"3126,29",510
outubro 2010,"3149,74",510
novembro 2010,"3175,88",510
dezembro 2010,"3195,89",510
janeiro 2011,"3222,42",540
fevereiro 2011,"3248,2",540
março 2011,"3273,86",545
abril 2011,"3299,07",545
maio 2011,"3314,58",545
junho 2011,"3319,55",545
julho 2011,"3324,86",545
agosto 2011,"3337,16",545
setembro 2011,"3354,85",545
outubro 2011,"3369,28",545
novembro 2011,"3386,8",545
dezembro 2011,"3403,73",545
janeiro 2012,"3422,79",622
fevereiro 2012,"3438,19",622
março 2012,"3445,41",622
abril 2012,"3467,46",622
maio 2012,"3479,94",622
junho 2012,"3482,72",622
julho 2012,"3497,7",622
agosto 2012,"3512,04",622
setembro 2012,"3532,06",622
outubro 2012,"3552,9",622
novembro 2012,"3574,22",622
dezembro 2012,"3602,46",622
janeiro 2013,"3633,44",678
fevereiro 2013,"3655,24",678
março 2013,"3672,42",678
abril 2013,"3692,62",678
maio 2013,"3706,28",678
junho 2013,"3715,92",678
julho 2013,"3717,03",678
agosto 2013,"3725,95",678
setembro 2013,"3738,99",678
outubro 2013,"3760,3",678
novembro 2013,"3780,61",678
dezembro 2013,"3815,39",678
janeiro 2014,"3836,37",724
fevereiro 2014,"3862,84",724
março 2014,"3898,38",724
abril 2014,"3924,5",724
maio 2014,"3942,55",724
junho 2014,"3958,32",724
julho 2014,"3958,72",724
agosto 2014,"3968,62",724
setembro 2014,"3991,24",724
outubro 2014,4008,724
novembro 2014,"4028,44",724
dezembro 2014,"4059,86",724
janeiro 2015,"4110,2",788
fevereiro 2015,"4160,34",788
março 2015,"4215,26",788
abril 2015,"4245,19",788
maio 2015,"4276,6",788
junho 2015,"4310,39",788
julho 2015,"4337,11",788
agosto 2015,"4346,65",788
setembro 2015,"4370,12",788
outubro 2015,"4405,95",788
novembro 2015,"4450,45",788
dezembro 2015,"4493,17",788
janeiro 2016,"4550,23",880
fevereiro 2016,"4591,18",880
março 2016,"4610,92",880
abril 2016,"4639,05",880
maio 2016,"4675,23",880
junho 2016,"4691,59",880
julho 2016,"4715,99",880
agosto 2016,"4736,74",880
setembro 2016,"4740,53",880
outubro 2016,"4752,86",880
novembro 2016,"4761,42",880
dezembro 2016,"4775,7",880
janeiro 2017,"4793,85",937
fevereiro 2017,"4809,67",937
março 2017,"4821,69",937
abril 2017,"4828,44",937
maio 2017,"4843,41",937
junho 2017,"4832,27",937
julho 2017,"4843,87",937
agosto 2017,"4853,07",937
setembro 2017,"4860,83",937
outubro 2017,"4881,25",937
novembro 2017,"4894,92",937
dezembro 2017,"4916,46",937
janeiro 2018,"4930,72",954
fevereiro 2018,"4946,5",954
março 2018,"4950,95",954
abril 2018,"4961,84",954
maio 2018,"4981,69",954
junho 2018,"5044,46",954
julho 2018,"5061,11",954
agosto 2018,"5056,56",954
setembro 2018,"5080,83",954
outubro 2018,"5103,69",954
novembro 2018,"5092,97",954
dezembro 2018,"5100,61",954
janeiro 2019,"5116,93",998
fevereiro 2019,"5138,93",998
março 2019,"5177,47",998
abril 2019,"5206,98",998
maio 2019,"5213,75",998
junho 2019,"5214,27",998
julho 2019,"5224,18",998
agosto 2019,"5229,93",998
setembro 2019,"5227,84",998
outubro 2019,"5233,07",998
novembro 2019,"5259,76",998
dezembro 2019,"5320,25",998
janeiro 2020,"5331,42","1.039,00"
fevereiro 2020,"5344,75","1.045,00"
março 2020,"5348,49","1.045,00"
abril 2020,"5331,91","1.045,00"
maio 2020,"5311,65","1.045,00"
junho 2020,"5325,46","1.045,00"
julho 2020,"5344,63","1.045,00"
agosto 2020,"5357,46","1.045,00"
setembro 2020,"5391,75","1.045,00"
outubro 2020,"5438,12","1.045,00"
novembro 2020,"5486,52","1.045,00"
dezembro 2020,"5560,59","1.045,00"
janeiro 2021,"5574,49","1.100,00"
fevereiro 2021,"5622,43","1.100,00"
março 2021,"5674,72","1.100,00"
abril 2021,"5692,31","1.100,00"
maio 2021,"5739,56","1.100,00"
junho 2021,"5769,98","1.100,00"
julho 2021,"5825,37","1.100,00"
agosto 2021,"5876,05","1.100,00"
setembro 2021,"5944,21","1.100,00"
outubro 2021,"6018,51","1.100,00"
novembro 2021,"6075,69","1.100,00"
dezembro 2021,"6120,04","1.100,00"
janeiro 2022,"6153,09","1.212,00"
fevereiro 2022,"6215,24","1.212,00"
março 2022,"6315,93","1.212,00"
abril 2022,"6382,88","1.212,00"
maio 2022,"6412,88","1.212,00"
junho 2022,"6455,85","1.212,00"
julho 2022,"6411,95","1.212,00"
agosto 2022,"6388,87","1.212,00"
setembro 2022,"6370,34","1.212,00"
outubro 2022,"6407,93","1.212,00"
novembro 2022,"6434,2","1.212,00"
dezembro 2022,"6474,09","1.212,00"
janeiro 2023,"6508,4","1.302,00"
fevereiro 2023,"6563,07","1.302,00"
março 2023,"6609,67","1.302,00"
abril 2023,"6649,99","1.302,00"
maio 2023,"6665,28","1.320,00"
junho 2023,"6659,95","1.320,00"
julho 2023,"6667,94","1.320,00"
agosto 2023,"6683,28","1.320,00"
setembro 2023,"6700,66","1.320,00"
outubro 2023,"6716,74","1.320,00"
novembro 2023,"6735,55","1.320,00"
dezembro 2023,"6773,27","1.320,00"
janeiro 2024,"6801,72","1.412,00"
fevereiro 2024,"6858,17","1.412,00"
março 2024,"6869,14","1.412,00"
abril 2024,"6895,24","1.412,00"
maio 2024,"6926,96","1.412,00"
junho 2024,"6941,51","1.412,00"
julho 2024,"6967,89","1.412,00"
agosto 2024,"6966,5","1.412,00"
