dezembro 2010,"3195,89"
janeiro 2011,"3222,42"
fevereiro 2011,"3248,2"
março 2011,"3273,86"
abril 2011,"3299,07"
maio 2011,"3314,58"
junho 2011,"3319,55"
julho 2011,"3324,86"
agosto 2011,"3337,16"
setembro 2011,"3354,85"
outubro 2011,"3369,28"
novembro 2011,"3386,8"
dezembro 2011,"3403,73"
janeiro 2012,"3422,79"
fevereiro 2012,"3438,19"
março 2012,"3445,41"
abril 2012,"3467,46"
maio 2012,"3479,94"
junho 2012,"3482,72"
julho 2012,"3497,7"
agosto 2012,"3512,04"
setembro 2012,"3532,06"
outubro 2012,"3552,9"
novembro 2012,"3574,22"
dezembro 2012,"3602,46"
janeiro 2013,"3633,44"
fevereiro 2013,"3655,24"
março 2013,"3672,42"
abril 2013,"3692,62"
maio 2013,"3706,28"
junho 2013,"3715,92"
julho 2013,"3717,03"
agosto 2013,"3725,95"
setembro 2013,"3738,99"
outubro 2013,"3760,3"
novembro 2013,"3780,61"
dezembro 2013,"3815,39"
janeiro 2014,"3836,37"
fevereiro 2014,"3862,84"
março 2014,"3898,38"
abril 2014,"3924,5"
maio 2014,"3942,55"
junho 2014,"3958,32"
julho 2014,"3958,72"
agosto 2014,"3968,62"
setembro 2014,"3991,24"
outubro 2014,4008
novembro 2014,"4028,44"
dezembro 2014,"4059,86"
janeiro 2015,"4110,2"
fevereiro 2015,"4160,34"
março 2015,"4215,26"
abril 2015,"4245,19"
maio 2015,"4276,6"
junho 2015,"4310,39"
julho 2015,"4337,11"
agosto 2015,"4346,65"
setembro 2015,"4370,12"
outubro 2015,"4405,95"
novembro 2015,"4450,45"
dezembro 2015,"4493,17"
janeiro 2016,"4550,23"
fevereiro 2016,"4591,18"
março 2016,"4610,92"
abril 2016,"4639,05"
maio 2016,"4675,23"
junho 2016,"4691,59"
julho 2016,"4715,99"
agosto 2016,"4736,74"
setembro 2016,"4740,53"
outubro 2016,"4752,86"
novembro 2016,"4761,42"
dezembro 2016,"4775,7"
janeiro 2017,"4793,85"
fevereiro 2017,"4809,67"
março 2017,"4821,69"
abril 2017,"4828,44"
maio 2017,"4843,41"
junho 2017,"4832,27"
julho 2017,"4843,87"
agosto 2017,"4853,07"
setembro 2017,"4860,83"
outubro 2017,"4881,25"
novembro 2017,"4894,92"
dezembro 2017,"4916,46"
janeiro 2018,"4930,72"
fevereiro 2018,"4946,5"
março 2018,"4950,95"
abril 2018,"4961,84"
maio 2018,"4981,69"
junho 2018,"5044,46"
julho 2018,"5061,11"
agosto 2018,"5056,56"
setembro 2018,"5080,83"
outubro 2018,"5103,69"
novembro 2018,"5092,97"
dezembro 2018,"5100,61"
janeiro 2019,"5116,93"
fevereiro 2019,"5138,93"
março 2019,"5177,47"
abril 2019,"5206,98"
maio 2019,"5213,75"
junho 2019,"5214,27"
julho 2019,"5224,18"
agosto 2019,"5229,93"
setembro 2019,"5227,84"
outubro 2019,"5233,07"
novembro 2019,"5259,76"
dezembro 2019,"5320,25"
janeiro 2020,"5331,42"
fevereiro 2020,"5344,75"
março 2020,"5348,49"
abril 2020,"5331,91"
maio 2020,"5311,65"
junho 2020,"5325,46"
julho 2020,"5344,63"
agosto 2020,"5357,46"
setembro 2020,"5391,75"
outubro 2020,"5438,12"
novembro 2020,"5486,52"
dezembro 2020,"5560,59"
janeiro 2021,"5574,49"
fevereiro 2021,"5622,43"
março 2021,"5674,72"
abril 2021,"5692,31"
maio 2021,"5739,56"
junho 2021,"5769,98"
julho 2021,"5825,37"
agosto 2021,"5876,05"
setembro 2021,"5944,21"
outubro 2021,"6018,51"
novembro 2021,"6075,69"
dezembro 2021,"6120,04"
janeiro 2022,"6153,09"
fevereiro 2022,"6215,24"
março 2022,"6315,93"
abril 2022,"6382,88"
maio 2022,"6412,88"
junho 2022,"6455,85"
julho 2022,"6411,95"
agosto 2022,"6388,87"
setembro 2022,"6370,34"
outubro 2022,"6407,93"
novembro 2022,"6434,2"
dezembro 2022,"6474,09"
janeiro 2023,"6508,4"
fevereiro 2023,"6563,07"
março 2023,"6609,67"
abril 2023,"6649,99"
maio 2023,"6665,28"
junho 2023,"6659,95"
julho 2023,"6667,94"
agosto 2023,"6683,28"
setembro 2023,"6700,66"
outubro 2023,"6716,74"
novembro 2023,"6735,55"
dezembro 2023,"6773,27"
janeiro 2024,"6801,72"
fevereiro 2024,"6858,17"
março 2024,"6869,14"
abril 2024,"6895,24"
maio 2024,"6926,96"
junho 2024,"6941,51"
julho 2024,"6967,89"
agosto 2024,"6966,5"
